GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G2600330","1990","MI",,,,,,,,,,,,"99","Chippewa","033",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0004043192","0002944630","Chippewa County","A","+46317751","-084518518","06",374,837,889,503,490,1469,951,881,393,430,432,431,544,770,782,726,1894,3119,3202,2896,2218,1604,1466,1484,597,883,1340,1136,900,570,393
"G2600350","1990","MI",,,,,,,,,,,,"99","Clare","035",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001468168","0000021731","Clare County","A","+43991215","-084838425","06",340,720,760,394,377,1107,744,712,350,331,368,332,288,305,325,256,860,1670,1821,1691,1379,1237,1277,1332,625,948,1575,1143,862,490,333
"G2600370","1990","MI",,,,,,,,,,,,"99","Clinton","037",,,"3","4040",,,,"9999","2","Michigan","26",,,,"0001480146","0000008071","Clinton County","A","+42940588","-084611757","06",735,1814,1784,928,910,2924,1982,1925,895,873,928,954,877,770,793,756,2282,4489,4997,4804,4549,3888,2991,2520,882,1243,1788,1360,1056,644,542
"G2600390","1990","MI",,,,,,,,,,,,"99","Crawford","039",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001445648","0000013572","Crawford County","A","+44679676","-084611491","06",154,379,368,191,183,589,357,330,153,165,170,162,139,155,153,121,439,927,1052,902,752,655,613,645,263,416,618,475,317,234,183
"G2600410","1990","MI",,,,,,,,,,,,"99","Delta","041",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0003030794","0002127834","Delta County","A","+45775351","-086872975","06",422,1028,1063,546,578,1746,1233,1224,583,612,547,592,572,503,435,398,1222,2578,2915,3007,2596,2033,1899,1766,775,1105,1765,1530,1132,773,602
"G2600430","1990","MI",,,,,,,,,,,,"99","Dickinson","043",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001985034","0000027921","Dickinson County","A","+45997326","-087872002","06",298,715,808,395,415,1275,841,782,342,363,358,380,289,264,270,219,855,1836,2156,2162,1769,1368,1205,1163,539,856,1409,1258,1010,644,587
"G2600450","1990","MI",,,,,,,,,,,,"99","Eaton","045",,,"3","4040",,,,"9999","2","Michigan","26",,,,"0001493262","0000006522","Eaton County","A","+42587962","-084846014","06",1148,2664,2788,1434,1474,4448,2984,2964,1395,1448,1449,1433,1413,1450,1364,1306,3701,7040,7949,8098,7694,6138,4584,3846,1419,2031,3020,2298,1752,1162,985
"G2600470","1990","MI",,,,,,,,,,,,"99","Emmet","047",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001212002","0001073233","Emmet County","A","+45583079","-084980670","06",324,814,742,412,409,1131,769,727,345,352,317,335,346,297,266,274,830,1813,2247,2188,1895,1352,1142,1002,451,729,1067,880,706,460,418
"G2600490","1990","MI",,,,,,,,,,,,"99","Genesee","049",,,"3","2640",,,,"9999","2","Michigan","26",,,,"0001656731","0000025134","Genesee County","A","+43021000","-083706606","06",6117,14087,13232,6661,6552,20439,13901,13194,6398,6457,6644,6981,6792,6773,6341,5999,18485,34807,38008,33662,31014,25323,21102,19676,7468,10517,15281,10950,8076,5366,4156
"G2600510","1990","MI",,,,,,,,,,,,"99","Gladwin","051",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001312728","0000024913","Gladwin County","A","+43989321","-084388391","06",273,643,651,286,351,951,703,629,312,320,327,316,259,256,275,255,701,1421,1489,1426,1263,1165,1117,1261,523,910,1346,1049,692,421,305
"G2600530","1990","MI",,,,,,,,,,,,"99","Gogebic","053",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002854012","0000970224","Gogebic County","A","+46484401","-089790638","06",171,424,431,228,226,727,458,433,212,219,257,245,251,284,223,207,564,1020,1188,1206,1068,915,843,854,394,681,1150,1150,982,577,464
"G2600550","1990","MI",,,,,,,,,,,,"99","Grand Traverse","055",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001204593","0000352435","Grand Traverse County","A","+44733305","-085552462","06",830,1967,2059,1039,1034,3141,2026,1835,884,852,846,899,911,993,930,772,2251,5005,5987,6044,4915,3469,2712,2474,1012,1496,2490,1909,1629,1022,840
"G2600570","1990","MI",,,,,,,,,,,,"99","Gratiot","057",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001476719","0000003837","Gratiot County","A","+43292290","-084604765","06",495,1074,1130,578,588,1838,1306,1224,589,597,569,590,663,810,750,661,1539,2866,2998,2919,2575,2215,1769,1656,640,995,1507,1346,995,719,781
"G2600590","1990","MI",,,,,,,,,,,,"99","Hillsdale","059",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001551043","0000021555","Hillsdale County","A","+41887751","-084593611","06",558,1392,1384,660,670,2107,1456,1389,653,643,678,666,691,793,773,703,1604,3054,3484,3155,2858,2390,2087,1907,747,1218,1800,1397,1119,799,596
"G2600610","1990","MI",,,,,,,,,,,,"99","Houghton","061",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002620414","0001268799","Houghton County","A","+46983574","-088646621","06",362,839,914,448,447,1368,934,884,446,448,453,399,942,1462,1291,1089,2124,2117,2218,2201,1939,1596,1475,1310,542,862,1536,1677,1531,982,610
"G2600630","1990","MI",,,,,,,,,,,,"99","Huron","063",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002166754","0003367357","Huron County","A","+43958593","-082835735","06",461,1027,951,530,545,1659,1117,1074,466,513,497,537,457,373,392,365,1208,2348,2566,2585,2061,1682,1603,1599,712,1205,1949,1729,1275,842,623
"G2600650","1990","MI",,,,,,,,,,,,"99","Ingham","065",,,"3","4040",,,,"9999","2","Michigan","26",,,,"0001448414","0000004535","Ingham County","A","+42603550","-084373803","06",3679,8733,8386,4066,3991,11713,7625,6954,3239,3319,3222,3438,6443,9976,9933,9674,19189,25769,24596,22740,18947,13897,10238,9130,3449,5190,7793,6189,4511,3142,2741
"G2600670","1990","MI",,,,,,,,,,,,"99","Ionia","067",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001484690","0000018177","Ionia County","A","+42944449","-085072760","06",736,1745,1911,890,905,2846,1815,1751,845,882,806,972,1043,1130,1249,1079,2997,5031,4993,4569,3696,2970,2325,2066,809,1220,1772,1481,1113,735,642
"G2600690","1990","MI",,,,,,,,,,,,"99","Iosco","069",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001422298","0003474669","Iosco County","A","+44275743","-083336873","06",496,990,1033,492,473,1395,847,785,372,360,361,360,348,416,460,488,1421,2723,2425,2069,1608,1343,1219,1509,666,1006,1469,1211,885,573,406
"G2600710","1990","MI",,,,,,,,,,,,"99","Iron","071",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0003021204","0000115697","Iron County","A","+46205080","-088513849","06",129,292,288,160,169,520,360,345,178,173,147,169,118,102,97,77,279,678,838,915,759,657,583,715,336,525,996,971,806,484,309
"G2600730","1990","MI",,,,,,,,,,,,"99","Isabella","073",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001487450","0000009011","Isabella County","A","+43647562","-084838322","06",620,1490,1438,705,733,2168,1462,1354,660,639,615,642,1848,3051,2998,3048,4671,4016,3813,3622,2925,2229,1870,1720,692,1019,1503,1214,859,526,474
"G2600750","1990","MI",,,,,,,,,,,,"99","Jackson","075",,,"3","3520",,,,"9999","2","Michigan","26",,,,"0001830215","0000044470","Jackson County","A","+42247850","-084424522","06",1967,4563,4406,2197,2113,6573,4378,4166,2009,2090,2051,2054,1958,2201,1970,2004,6124,12671,13623,12724,10794,8495,6870,6504,2607,4087,6114,4743,3515,2307,1878
"G2600770","1990","MI",,,,,,,,,,,,"99","Kalamazoo","077",,,"3","3720",,,,"9999","2","Michigan","26",,,,"0001455312","0000047471","Kalamazoo County","A","+42244883","-085529871","06",2845,6968,6499,3138,3133,9294,6121,5497,2657,2824,2662,2835,4444,5860,6045,5627,12688,18521,19317,18290,15528,12191,9719,8614,3427,4943,7530,5911,4592,3070,2621
"G2600790","1990","MI",,,,,,,,,,,,"99","Kalkaska","079",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001453093","0000025244","Kalkaska County","A","+44691940","-085083913","06",197,409,428,220,248,693,488,452,211,209,208,191,180,152,145,147,448,980,1185,1048,823,704,648,628,245,413,633,475,351,211,127
"G2600810","1990","MI",,,,,,,,,,,,"99","Kent","081",,,"3","3000",,,,"9999","2","Michigan","26",,,,"0002217651","0000041382","Kent County","A","+43032850","-085547179","06",8273,18124,17334,8840,8323,24602,15528,14223,6466,6775,6456,6632,6866,7787,8120,7498,24083,47420,46581,41300,33193,25049,20063,18521,7354,11213,17028,13283,10528,7106,6062
"G2600830","1990","MI",,,,,,,,,,,,"99","Keweenaw","083",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001401710","0014034637","Keweenaw County","A","+47477259","-088155067","06",15,31,38,27,16,52,48,38,19,20,13,22,21,13,7,8,31,89,90,122,109,76,97,96,34,69,106,147,148,71,28
"G2600850","1990","MI",,,,,,,,,,,,"99","Lake","085",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001470032","0000018281","Lake County","A","+43987546","-085811619","06",81,246,251,111,137,370,270,227,125,119,99,119,96,67,62,79,237,462,546,506,470,421,474,525,232,416,613,498,335,216,173
"G2600870","1990","MI",,,,,,,,,,,,"35","Lapeer","087",,,"3","2162",,,,"2160","2","Michigan","26",,,,"0001694712","0000022772","Lapeer County","A","+43090655","-083224055","06",930,2233,2303,1276,1195,3934,2714,2529,1202,1246,1283,1264,1211,1167,1077,1007,2825,5631,6524,6589,5804,4988,3694,2974,1071,1626,2194,1673,1255,775,574
"G2600890","1990","MI",,,,,,,,,,,,"99","Leelanau","089",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0000902597","0005658810","Leelanau County","A","+45132573","-086029820","06",227,491,529,259,249,771,505,418,212,210,219,220,191,189,148,152,435,1011,1354,1595,1251,908,804,786,363,564,817,637,504,288,220
"G2600910","1990","MI",,,,,,,,,,,,"99","Lenawee","091",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001943986","0000027985","Lenawee County","A","+41891838","-084068778","06",1277,2740,2627,1450,1464,4298,3013,2899,1366,1566,1527,1551,1498,1633,1478,1352,3571,6616,7400,7265,6684,5284,4189,3804,1478,2387,3591,2885,2053,1386,1144
"G2600930","1990","MI",,,,,,,,,,,,"35","Livingston","093",,,"3","2162",,,,"2160","2","Michigan","26",,,,"0001472163","0000044185","Livingston County","A","+42602259","-083911893","06",1434,3642,3635,1914,1786,5648,3881,3644,1790,1789,2002,1967,1743,1633,1557,1360,3925,8382,10578,10968,10005,8354,6074,4529,1586,2345,3333,2562,1694,1034,851
"G2600950","1990","MI",,,,,,,,,,,,"99","Luce","095",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002338946","0002612870","Luce County","A","+46746733","-085590118","06",67,154,155,84,85,252,199,181,113,99,90,89,73,53,57,57,144,316,424,442,388,291,330,312,139,175,327,245,165,166,91
"G2600970","1990","MI",,,,,,,,,,,,"99","Mackinac","097",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002645953","0002790944","Mackinac County","A","+46008718","-085007637","06",111,327,291,165,139,448,310,332,162,144,173,164,117,112,103,99,318,698,799,789,654,584,550,610,243,416,594,468,363,227,164
"G2600990","1990","MI",,,,,,,,,,,,"35","Macomb","099",,,"3","2162",,,,"2160","2","Michigan","26",,,,"0001244271","0000231545","Macomb County","A","+42668061","-082910155","06",8947,20340,19627,9798,9411,28872,18991,18348,8805,9420,9429,9665,9577,10366,10120,9936,33632,63452,64874,56459,51334,43021,36348,33706,13804,20661,31233,23889,16513,9619,7203
"G2601010","1990","MI",,,,,,,,,,,,"99","Manistee","101",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001408609","0001908909","Manistee County","A","+44300844","-086312490","06",233,524,560,280,281,877,596,610,268,296,290,286,277,223,243,176,628,1324,1627,1645,1424,1209,1115,1100,463,813,1184,989,813,541,370
"G2601030","1990","MI",,,,,,,,,,,,"99","Marquette","103",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0004717202","0004158479","Marquette County","A","+46664355","-087604186","06",917,2020,2105,1115,1029,3265,2162,1993,969,913,938,973,1283,1775,1647,1567,3868,6017,6072,6154,4846,3385,2877,2535,1040,1444,2375,2055,1735,1091,722
"G2601050","1990","MI",,,,,,,,,,,,"99","Mason","105",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001282545","0001934194","Mason County","A","+44021706","-086500311","06",324,727,734,385,364,1175,808,732,395,373,334,360,345,318,295,280,788,1594,1954,1940,1740,1412,1221,1215,489,863,1308,1139,892,557,476
"G2601070","1990","MI",,,,,,,,,,,,"99","Mecosta","107",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001439491","0000039758","Mecosta County","A","+43642836","-085322678","06",419,918,957,466,468,1351,936,913,454,426,444,431,1497,2280,1977,1711,2719,2392,2204,2223,1939,1705,1361,1415,573,939,1408,1115,794,489,384
"G2601090","1990","MI",,,,,,,,,,,,"99","Menominee","109",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002703073","0000761322","Menominee County","A","+45521786","-087525018","06",237,657,685,355,369,1195,837,817,343,358,390,346,276,286,258,226,809,1672,2010,1978,1696,1313,1123,1141,487,761,1223,1116,903,598,455
"G2601110","1990","MI",,,,,,,,,,,,"99","Midland","111",,,"3","6960",,,,"9999","2","Michigan","26",,,,"0001349954","0000017346","Midland County","A","+43642957","-084385966","06",1030,2357,2310,1129,1162,3620,2344,2286,1115,1105,1145,1105,1147,1149,1183,1050,3232,6110,6587,6369,5621,4728,3848,3249,1294,1836,2542,1947,1450,890,711
"G2601130","1990","MI",,,,,,,,,,,,"99","Missaukee","113",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001467955","0000018329","Missaukee County","A","+44338609","-085096098","06",156,372,409,221,208,706,442,385,179,165,173,187,147,119,141,105,399,889,963,885,698,631,603,560,229,363,631,462,336,221,162
"G2601150","1990","MI",,,,,,,,,,,,"35","Monroe","115",,,"3","2162",,,,"2160","2","Michigan","26",,,,"0001427436","0000334018","Monroe County","A","+41915104","-083499532","06",1898,4119,4209,2187,2054,6420,4511,4264,2131,2084,2140,2227,2093,2100,1855,1696,5402,10354,11473,10980,9774,8026,6463,5713,2207,3393,4682,3449,2698,1694,1304
"G2601170","1990","MI",,,,,,,,,,,,"99","Montcalm","117",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001833945","0000033499","Montcalm County","A","+43312910","-085149369","06",784,1666,1655,870,808,2675,1741,1682,765,786,853,916,734,738,702,640,2119,4298,4606,4084,3514,2921,2407,2189,927,1399,2148,1718,1349,786,579
"G2601190","1990","MI",,,,,,,,,,,,"99","Montmorency","119",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001418370","0000038401","Montmorency County","A","+45026707","-084128955","06",93,232,195,122,117,378,263,244,112,116,99,129,115,84,90,76,199,451,590,617,449,421,426,538,267,469,678,564,380,219,203
"G2601210","1990","MI",,,,,,,,,,,,"99","Muskegon","121",,,"3","5320",,,,"9999","2","Michigan","26",,,,"0001318828","0002460742","Muskegon County","A","+43287061","-086446483","06",2310,5352,5192,2692,2609,7629,5081,4716,2285,2288,2239,2271,2290,2248,2110,2018,6225,12576,13551,12652,10722,8367,7006,6730,2695,4331,6785,5514,4042,2487,1970
"G2601230","1990","MI",,,,,,,,,,,,"99","Newaygo","123",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002181891","0000049255","Newaygo County","A","+43551185","-085796859","06",564,1333,1302,655,657,1932,1285,1235,582,561,621,565,476,444,422,396,1224,2835,3041,2805,2460,2078,1929,1792,691,1113,1761,1339,1027,608,469
"G2601250","1990","MI",,,,,,,,,,,,"35","Oakland","125",,,"3","2162",,,,"2160","2","Michigan","26",,,,"0002260323","0000091588","Oakland County","A","+42660150","-083383683","06",14374,33072,30778,15365,14821,44902,29789,27802,13629,14354,14498,14674,13777,14174,13529,13255,45338,95615,103357,94929,87311,70505,52839,46597,18935,27485,40617,29620,21911,14220,11520
"G2601270","1990","MI",,,,,,,,,,,,"99","Oceana","127",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001399866","0001984836","Oceana County","A","+43657276","-086530712","06",316,724,729,424,367,1144,781,761,341,354,346,355,332,245,253,234,674,1662,1673,1627,1495,1288,1121,1043,431,659,1045,794,614,341,281
"G2601290","1990","MI",,,,,,,,,,,,"99","Ogemaw","129",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001461695","0000026706","Ogemaw County","A","+44333649","-084130574","06",253,529,477,281,259,888,600,562,264,272,271,269,243,227,195,185,518,1186,1336,1293,1044,953,942,1046,450,748,1199,905,626,412,248
"G2601310","1990","MI",,,,,,,,,,,,"99","Ontonagon","131",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0003397117","0006293037","Ontonagon County","A","+46979167","-089271293","06",99,207,230,106,109,320,255,243,113,142,137,148,108,79,72,67,233,511,615,611,620,539,548,532,200,290,462,474,423,235,126
"G2601330","1990","MI",,,,,,,,,,,,"99","Osceola","133",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001466242","0000018216","Osceola County","A","+43984603","-085329671","06",255,626,644,319,313,1081,721,651,339,320,377,327,287,235,251,218,697,1331,1529,1378,1321,1069,1057,976,372,638,987,728,534,319,246
"G2601350","1990","MI",,,,,,,,,,,,"99","Oscoda","135",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001463435","0000017002","Oscoda County","A","+44682528","-084125458","06",99,220,215,110,126,338,205,209,81,98,89,96,78,74,69,74,228,484,553,475,386,407,415,505,213,379,571,447,276,177,145
"G2601370","1990","MI",,,,,,,,,,,,"99","Otsego","137",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001332813","0000029539","Otsego County","A","+45016781","-084606547","06",236,540,611,308,301,901,619,570,262,257,244,269,238,237,190,194,625,1294,1469,1438,1226,977,803,783,389,543,824,639,426,313,231
"G2601390","1990","MI",,,,,,,,,,,,"99","Ottawa","139",,,"3","3000",,,,"9999","2","Michigan","26",,,,"0001465203","0002761984","Ottawa County","A","+42922416","-086233342","06",2795,6639,6579,3383,3248,9716,6162,5842,2681,2702,2724,2607,3187,3873,3632,3298,8153,15667,16476,15330,12983,10358,7950,6764,2645,3900,5838,4679,3577,2405,1975
"G2601410","1990","MI",,,,,,,,,,,,"99","Presque Isle","141",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001709541","0004953140","Presque Isle County","A","+45321610","-083458599","06",152,335,367,176,200,666,421,413,175,187,205,206,172,143,140,128,379,805,924,972,784,683,672,773,370,579,958,674,549,311,224
"G2601430","1990","MI",,,,,,,,,,,,"99","Roscommon","143",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001350454","0000151378","Roscommon County","A","+44330739","-084610941","06",191,439,440,238,243,772,463,489,225,215,237,221,188,206,163,165,467,1058,1275,1152,1057,931,991,1286,623,1108,1828,1361,948,517,279
"G2601450","1990","MI",,,,,,,,,,,,"99","Saginaw","145",,,"3","6960",,,,"9999","2","Michigan","26",,,,"0002095229","0000017738","Saginaw County","A","+43334968","-084052348","06",3155,6706,6567,3302,3085,9908,6893,6487,3219,3307,3360,3588,3417,3397,3027,2882,8566,15820,17052,16370,15139,12612,10249,9239,3666,5330,8154,6551,5050,3283,2565
"G2601470","1990","MI",,,,,,,,,,,,"35","St Clair","147",,,"3","2162",,,,"2160","2","Michigan","26",,,,"0001876337","0000279960","St. Clair County","A","+42934079","-082668222","06",1989,4411,4643,2358,2195,6911,4665,4432,2142,2171,2227,2267,2162,2186,2006,1843,5893,11268,12294,11593,10291,8599,6734,6138,2475,3795,5884,4655,3409,2275,1696
"G2601490","1990","MI",,,,,,,,,,,,"99","St Joseph","149",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001304695","0000045153","St. Joseph County","A","+41915323","-085529763","06",856,1876,1889,1035,987,2896,2000,1868,880,927,870,894,882,791,711,680,2164,4551,4738,4561,4041,3254,2667,2586,1002,1613,2352,1939,1532,1063,808
"G2601510","1990","MI",,,,,,,,,,,,"99","Sanilac","151",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002496393","0001623377","Sanilac County","A","+43456651","-082639649","06",530,1162,1274,636,631,1938,1306,1316,643,580,629,648,530,485,487,436,1347,2839,3142,2900,2456,2126,1869,1792,795,1208,1934,1643,1301,765,580
"G2601530","1990","MI",,,,,,,,,,,,"99","Schoolcraft","153",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0003051482","0001827542","Schoolcraft County","A","+46024322","-086187326","06",82,227,195,128,125,367,242,261,115,130,105,153,84,89,82,88,199,520,640,627,513,416,446,441,190,301,492,381,287,212,164
"G2601550","1990","MI",,,,,,,,,,,,"99","Shiawassee","155",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001395595","0000005015","Shiawassee County","A","+42950296","-084144146","06",857,2114,2163,1063,1049,3349,2473,2278,1091,1108,1140,1250,1141,1136,982,876,2630,5276,5870,5534,5203,4321,3434,2970,1104,1590,2558,2034,1472,910,794
"G2601570","1990","MI",,,,,,,,,,,,"99","Tuscola","157",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0002104621","0000261707","Tuscola County","A","+43487753","-083436661","06",658,1642,1654,911,802,2716,1926,1828,895,968,916,910,909,783,709,677,2009,4134,4546,4452,3994,3455,2731,2392,893,1292,2133,1773,1403,805,582
"G2601590","1990","MI",,,,,,,,,,,,"99","Van Buren","159",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001582506","0001241319","Van Buren County","A","+42270781","-086308528","06",971,2221,2209,1190,1177,3602,2427,2224,1122,1137,1049,1067,1004,939,845,767,2352,4839,5888,5794,4981,3947,3263,2958,1242,1991,2779,2200,1820,1101,954
"G2601610","1990","MI",,,,,,,,,,,,"35","Washtenaw","161",,,"3","2162",,,,"0440","2","Michigan","26",,,,"0001839079","0000032421","Washtenaw County","A","+42253250","-083841570","06",3637,8146,7377,3701,3479,10251,6444,6086,2865,3044,2888,3178,6444,9368,9593,9843,20187,29635,26532,24349,21072,15279,10927,9090,3428,4868,7194,5245,3902,2541,2344
"G2601630","1990","MI",,,,,,,,,,,,"35","Wayne","163",,,"3","2162",,,,"2160","2","Michigan","26",,,,"0001590632","0000150515","Wayne County","A","+42284600","-083260274","06",33031,71674,66146,32012,30473,91709,62181,59568,29251,30216,31128,33248,31758,32837,31128,29650,93815,174944,185129,167021,144403,111004,90654,88403,37815,57987,91027,69672,49756,29345,24702
"G2601650","1990","MI",,,,,,,,,,,,"99","Wexford","165",,,"3","9999",,,,"9999","2","Michigan","26",,,,"0001464762","0000026778","Wexford County","A","+44338068","-085579887","06",341,877,849,437,430,1393,888,782,392,392,400,384,326,293,302,317,960,2028,2143,2035,1753,1326,1245,1175,489,772,1140,991,691,452,357
"G2700010","1990","MN",,,,,,,,,,,,"99","Aitkin","001",,,"4","9999",,,,"9999","2","Minnesota","27",,,,"0004712184","0000455877","Aitkin County","A","+46606591","-093413732","06",96,287,287,173,179,591,366,324,160,168,141,187,140,98,92,62,205,618,801,804,766,690,686,695,320,561,901,829,544,354,300
"G2700030","1990","MN",,,,,,,,,,,,"99","Anoka","003",,,"4","5120",,,,"9999","2","Minnesota","27",,,,"0001098138","0000057730","Anoka County","A","+45274163","-093240830","06",3729,8805,8882,4415,4318,13200,8530,7757,3713,3795,3549,3676,3532,3530,3363,3135,10373,23956,24841,21573,19553,15169,11230,8718,2910,3823,5118,3522,2401,1453,1072
"G2700050","1990","MN",,,,,,,,,,,,"99","Becker","005",,,"4","9999",,,,"9999","2","Minnesota","27",,,,"0003394186","0000348805","Becker County","A","+46932261","-095668307","06",348,856,859,461,449,1524,966,914,419,443,454,415,396,274,243,253,798,1813,2061,2069,1860,1468,1328,1276,538,810,1272,1130,913,676,595
"G2700070","1990","MN",,,,,,,,,,,,"99","Beltrami","007",,,"4","9999",,,,"9999","2","Minnesota","27",,,,"0006488915","0001425314","Beltrami County","A","+48018033","-094923443","06",533,1155,1184,603,603,1864,1194,1051,532,506,525,478,647,898,832,785,1723,2458,2674,2521,2196,1558,1362,1279,477,750,1170,956,793,616,461
"G2700090","1990","MN",,,,,,,,,,,,"99","Benton","009",,,"4","6980",,,,"9999","2","Minnesota","27",,,,"0001057484","0000012235","Benton County","A","+45703184","-094000076","06",457,1137,1047,539,569,1680,1047,946,420,387,385,430,371,393,466,525,1783,2982,2706,2227,1797,1387,1050,1014,381,545,917,816,633,538,610
"G2700110","1990","MN",,,,,,,,,,,,"99","Big Stone","011",,,"4","9999",,,,"9999","2","Minnesota","27",,,,"0001287221","0000080104","Big Stone County","A","+45426821","-096413116","06",77,171,193,86,104,299,191,179,73,87,78,103,59,39,42,35,141,326,425,408,354,299,328,351,135,214,391,319,295,233,250
"G2700130","1990","MN",,,,,,,,,,,,"99","Blue Earth","013",,,"4","9999",,,,"9999","2","Minnesota","27",,,,"0001948686","0000035071","Blue Earth County","A","+44032801","-094063628","06",592,1400,1433,735,730,2253,1489,1380,624,617,575,563,1151,2362,2458,2360,4120,4116,3916,3685,2990,2251,1971,1810,727,1150,1806,1619,1292,950,919
"G2700150","1990","MN",,,,,,,,,,,,"99","Brown","015",,,"4","9999",,,,"9999","2","Minnesota","27",,,,"0001582188","0000020050","Brown County","A","+44234657","-094720980","06",310,788,875,443,458,1395,912,759,372,359,338,388,373,341,297,335,943,1906,2122,1936,1607,1333,1164,1230,476,771,1220,1173,1006,719,635
"G2700170","1990","MN",,,,,,,,,,,,"99","Carlton","017",,,"4","9999",,,,"9999","2","Minnesota","27",,,,"0002228379","0000038608","Carlton County","A","+46590191","-092680168","06",350,853,847,442,507,1433,983,973,463,463,467,430,381,316,321,274,851,1915,2390,2350,1989,1631,1377,1385,518,845,1390,1135,917,591,472
