year,measure,value,unit,file,page,n_values,conflict,context
2018,budget_operating,277.6,musd,2018 Annual Budget - Volume 1.pdf,15,1,,"s, the operating budget often better depicts year-to-year trends. The operating budget of $277.6 million represents a 5.2 percent increase compared to 2017 and includes a net staff"
2018,budget_total,389.2,musd,2018 Annual Budget - Volume 1.pdf,48,1,,"7 3 | SOURCES & USES Citywide Summary of Sources & Uses The 2018 Approved Budget totals $389.2 million and represents a 20.9 percent increase over the 2017 Budget for all funds, including Go"
2018,staffing_fte,1451.0,fte,2018 Annual Budget - Volume 1.pdf,68,1,,"-time equivalents FTEs). The 2018 Approved Budget includes a citywide staffing level of 1, 451 FTE. Ascan be seenin the chart below, the city manages staffing levels in connection"
2019,budget_operating,283.2,musd,2019 Approved Operating Budget.pdf,17,1,,"asons, theoperating budget often betterdepictsyear-to-year trends. Theoperating budget of $ 283.2 million representsa 2.0 increasecompared to 2018. Thismodest operating increaseinc"
2019,budget_total,353.7,musd,2019 Approved Operating Budget.pdf,42,1,,"ARY OF SOURCES & USES Citywide Summary of Sources & Uses The2019 Approved Budget totals $353.7 million and representsa 9.1 percentdecreaseover the 2018 Budget for all funds, including Govern"
2020,budget_operating,288.9,musd,2020 Approved Budget.pdf,40,1,,"illion budget increase over 2019is capital spending over. The adopted operating budget of $ 288.9 million represents a modest 2.3% increase compared to 2019, mainly due to inflatio"
2020,budget_total,369.7,musd,2020 Approved Budget.pdf,40,1,,"ry of Sources & Uses Citywide Summary of Sources & Uses The 2020 Approved Budget totals $ 369.7 million and represents a 4.6% increase over the 2019 Budget for all funds, including Governmen"
2021,budget_operating,272.3,musd,2021 Approved Budget.pdf,45,1,,"perating and capital costs from Sales Taxsupported funds. The adopted operating budget of $ 272.3 million represents a 6% decrease compared to 2020, mainly due to strategic personn"
2021,budget_total,341.7,musd,2021 Approved Budget.pdf,45,1,," y of Sources & Uses Citywide Summary of Sources & Uses The 2021 Approved Budget totals $ 341.7 million and represents a 7.6% decrease over the 2020 Budget for all funds, includingGovernment"
2021,staffing_fte,1375.83,fte,2021 Approved Budget.pdf,49,1,,"Uses Staffing Levels by Department The 2021Approved Budget proposes a total city staffing level of 1,375.83 FTE. In 2020 and into 2021, several positions wereeliminatedand/or reduc"
2022,budget_capital,162.4,musd,2022 Approved Budget.pdf,43,1,,"and programs to pre- COVID- 19 pandemic levels. In addition, the 2022 Capital Budget of $162.4 million represents a 134% increase compared to 2021, primarily due to a Utilities rev"
2022,budget_operating,300.1,musd,2022 Approved Budget.pdf,43,1,,"rom dedicated funds, including Water Utility and Wastewater. The 2022 Operating Budget of $300.1 million represents a 10% increase compared to 2021, mainly due to restoring city se"
2022,budget_total,462.5,musd,2022 Approved Budget.pdf,43,1,,"ry of Sources & Uses Citywide Summary of Sources & Uses The 2022 Approved Budget totals $ 462.5 million and represents a 35% increase over the 2021 Budget for all funds, including Government"
2022,staffing_fte,1460.71,fte,2022 Approved Budget.pdf,46,1,,"ime equivalents ( FTEs). The 2022 Approved Budget includes a citywide staffing level of1, 460.71 FTEs. As seen in the chart below, the city manages staffing levels in connection wi"
2023,budget_capital,160.8,musd,2023 Annual Budget.pdf,10,1,,"increase compared to the 2022 Approved Budget. In addition, the 2023 Capital Budget of $160.8 million represents a slight 1% decrease compared to 2022, primarily due to the signif"
2023,budget_operating,354.6,musd,2023 Annual Budget.pdf,10,1,,gn mid-year budget increases to the annual budget submittal. The 2023 Operating Budget of $354.6 million represents an 18% increase compared to the 2022 Approved Budget. In additio
2023,budget_total,515.4,musd,2023 Annual Budget.pdf,14,1,,"( 13 grouped) Sort Large to Small Combined Budget Summary - Uses The total budget of $515.4 million, referenced above, differs with the total uses within the below Combined Budget"
2023,staffing_fte,1540.09,fte,2023 Annual Budget.pdf,15,1,,"all Staffing Levels by Department The 2023 Approved Budget includes a total city staffing level of 1,540.09 full-time equivalents (FTEs), an increase of 3.2% from 2022 Revised staf"
2024,budget_capital,140.7,musd,2024 Approved Budget.pdf,7,2,140.7 | 141.2,"$ 374. 1 million, representing a 5.5% increase over 2023, and a 2024 Capital Budget of $ 140. 7 million. It’s important to understand that the overall budget includes voter- earma"
2024,budget_operating,374.2,musd,2024 Approved Budget.pdf,2,2,374.1 | 374.2,"is a 5. 5% change from the 2023 Approved Budget. This includes a 2024 Operating Budget of $ 374. 2 million, representing an annual increase of 5.5%, and a 2024 Capital Budget of 14"
2024,budget_total,515.4,musd,2024 Approved Budget.pdf,2,2,514.8 | 515.4,d on the Budget Highlights page and the Budget by Goal Area page. The total 2024 Approved Budget is $ 515. 4 million across all funds. This budget includes a change in budgeting pr
2025,budget_capital,189.9,musd,2025 Approved Budget.pdf,5,2,189.9 | 190.2,"ease over the 2024 Approved Operating Budget. The total 2025 Approved Capital Budget is $189.9 million, with $ 807.1 million in planned spending across the Six-Year Capital Improve"
2025,budget_operating,399.3,musd,2025 Approved Budget.pdf,5,1,,"through this helpful Budget Navigation Page. The total 2025 Approved Operating Budget is $399.3 million across all funds. Excluding debt service and internal services, this repres"
2025,budget_total,589.5,musd,2025 Approved Budget.pdf,16,1,,The total 2025 Approved Budget is $589. 5 million across all funds which represents a 14.4% increase from the 2024
2025,staffing_fte,1539.1,fte,2025 Approved Budget.pdf,5,1,,"THENUMBERS 399.3M TOTAL2025 OPERATINGBUDGET 189.9M 2025 CAPITALBUDGET 1,539.10 FULL-TIME EQUIVALENTS (EMPLOYEES) CITYOF BOULDERANNUALBUDGETCITYOF BOULDERANNUAL BUDGET FISCALYEAR202"
2026,budget_capital,113.3,musd,2026 Annual Budget.pdf,4,1,,"funds, including a 2026 Operating Budget of $ 407.7 million and 2026 Capital Budget of $ 113.3 million. The 2026 Approved Operating Budget represents 2.1% increase over the 2025 A"
2026,budget_operating,407.7,musd,2026 Annual Budget.pdf,4,1,,"Approved Budget is $521.0 million across all funds, including a 2026 Operating Budget of $ 407.7 million and 2026 Capital Budget of $ 113.3 million. The 2026 Approved Operating Bu"
2026,budget_total,521.0,musd,2026 Annual Budget.pdf,4,1,,"e goal area can be on the Budget Highlights page. BUDGET IN BRIEF The total 2026 Approved Budget is $521.0 million across all funds, including a 2026 Operating Budget of $ 407.7 mi"
2026,staffing_fte,1548.28,fte,2026 Annual Budget.pdf,5,1,,"BYTHENUMBERS 407. 7M 2026 OPERATINGBUDGET 113. 3M 2026 CAPITALBUDGET 1, 548. 28 FULL-TIME EQUIVALENTS (EMPLOYEES) Visualization 2024 Approved Budget 2025 Approved Budget 2026 Appr"
